time,open,high,low,close,ADX
1747687500,21506.75,21514.5,21503.5,21514.25,20.03850045705956
1747687800,21513.75,21517.5,21511.75,21517,21.047852015980812
1747688100,21516.75,21519.25,21510.5,21517.5,22.074423612061718
1747692000,21516.75,21516.75,21497,21503.5,21.709312336636046
1747692300,21503.5,21513.75,21501.75,21509,21.37028043802649
1747692600,21508.75,21514.25,21504,21506.25,21.08998689239104
1747692900,21507.25,21511.25,21504.5,21506.25,20.829714314300976
1747693200,21506.5,21515.5,21504,21509.75,20.908008060027548
1747693500,21509.25,21512,21501.75,21503.5,20.719360281950976
1747693800,21502.75,21507.25,21492.75,21499.25,19.577167180082437
1747694100,21499.75,21506.5,21496.5,21504,18.516559299775935
1747694400,21503.5,21504.75,21497.75,21500.25,17.531709125205612
1747694700,21500.5,21503.75,21497.25,21501.25,16.558255460672196
1747695000,21501.75,21502,21498,21499.25,15.654334200748313
1747695300,21499.25,21501.25,21498,21499.5,14.814978745104707
1747695600,21499.5,21503.5,21498,21499.75,14.326696646333623
1747695900,21499.5,21510,21497.25,21503.75,14.639485149990318
1747696200,21503.25,21526,21502.25,21518.5,16.30068770663657
1747696500,21519,21528,21513.25,21525.75,17.97985667149424
1747696800,21525.75,21531.25,21523,21525.5,19.75896176602978
1747697100,21526,21532.5,21522.5,21529.75,21.495610923826778
1747697400,21529.5,21561,21527.25,21558.75,24.456303217835433
1747697700,21558.25,21559.25,21548,21551.5,27.205517490843466
1747698000,21550.75,21557.5,21546,21549.75,29.44724547534306
1747698300,21549.75,21553.5,21546,21546,31.52885003237839
1747698600,21546,21550.25,21522.5,21526.25,30.437208324456034
1747698900,21526.25,21540.25,21526.25,21539.75,29.42354102424241
1747699200,21539,21554.5,21535.75,21547.75,29.428029170805203
1747699500,21547.5,21558,21545,21556,29.634354544538542
1747699800,21556.25,21562.25,21540.5,21542.75,29.328351900770187
1747700100,21543.25,21553.5,21540.75,21542.5,29.044206588699566
1747700400,21542,21547.75,21537.25,21541.75,28.37442110396924
1747700700,21542.5,21549,21539.25,21544,27.85082059258592
1747701000,21543.75,21552,21532.5,21545,26.58098973322311
1747701300,21545.75,21554.75,21540,21549.5,25.647521518367615
1747701600,21549,21553,21534.75,21540.75,24.189673808724407
1747701900,21541.25,21541.5,21525.5,21528.5,23.001118737148936
1747702200,21528.75,21530,21523.25,21525.25,22.101170714258163
1747702500,21525.25,21525.25,21513,21513.75,22.106756970674333
1747702800,21513.75,21514,21484.75,21492,23.671994808543175
1747703100,21492.5,21492.75,21477.25,21479.5,25.42244797251599
1747703400,21479.75,21485,21474,21479.75,27.171882316289274
1747703700,21479.5,21480.25,21465,21474.75,29.121335370125916
1747704000,21475,21475.25,21460.25,21470.5,31.091228182323842
1747704300,21470.5,21473.5,21457.5,21465.75,33.01227597915587
1747704600,21466.25,21466.25,21449,21452.5,35.06610753089859
1747704900,21452.5,21462.25,21447.75,21456,37.011603401112765
1747705200,21455.5,21459.5,21437.75,21447.25,39.108848436109575
1747705500,21447.25,21457.75,21437.25,21456.5,41.070173255529156
1747705800,21456.5,21459.75,21451.75,21459.75,42.60236899782198
1747706100,21459.5,21461.75,21454.5,21458.25,43.72915907590432
1747706400,21458.5,21461,21453.5,21459,44.81572569137211
1747706700,21459,21460.5,21448.25,21459.75,46.03326028881651
1747707000,21459.75,21466.75,21451.25,21456.5,46.19773965873055
1747707300,21456.75,21457,21446.75,21451,46.57502145864713
1747707600,21450,21461.75,21447,21457.25,46.2253515992173
1747707900,21457,21459.25,21443,21447,46.13152185290287
1747708200,21447,21448.25,21439.25,21440.75,46.25289427143369
1747708500,21440.5,21452.75,21433,21452.5,46.689219936765724
1747708800,21452.75,21461,21450.5,21458.75,45.89845965538791
1747709100,21458.25,21460,21454.25,21455.25,45.16418225125137
1747709400,21454.75,21458,21449.5,21450,44.796725337120854
1747709700,21450,21457,21450,21454.5,44.45551534542823
1747710000,21454.5,21454.5,21444,21450.5,44.528680255037095
1747710300,21450.5,21452.75,21444.75,21445.25,44.5966190996739
1747710600,21445.25,21451.25,21440,21442,44.96008300647122
1747710900,21443,21446,21438.5,21441,45.389448957244554
